\lq ‘
\rq ’
\lbrack [
\rbrack ]
\ss ß
\ae æ
\oe œ
\o ø
\AE Æ
\OE Œ
\O Ø
\i ı
\j ȷ
\aa å
\l ł
\L Ł
\AA Å
\dag †
\ddag ‡
\S §
\P ¶
\Orb ◯
\d ̣
\c ̧
\copyright ©
\dots …
\alpha α
\beta β
\gamma γ
\delta δ
\epsilon ϵ
\zeta ζ
\eta η
\theta θ
\iota ι
\kappa κ
\lambda λ
\mu μ
\nu ν
\xi ξ
\pi π
\rho ρ
\sigma σ
\tau τ
\upsilon υ
\phi φ
\chi χ
\psi ψ
\omega ω
\varepsilon ε
\vartheta ϑ
\varpi ϖ
\varrho ϱ
\varsigma ϛ
\varphi ϕ
\Gamma Γ
\Delta Δ
\Theta Θ
\Lambda Λ
\Xi Ξ
\Pi Π
\Sigma Σ
\Phi Φ
\Psi Ψ
\Omega Ω
\aleph ℵ
\hbar ℏ
\ell ℓ
\wp ℘
\Re ℜ
\Im ℑ
\partial ∂
\infty ∞
\prime ′
\emptyset ∅
\nabla ∇
\top ⊤
\bot ⊥
\angle ∠
\triangle △
\forall ∀
\exists ∃
\neg ¬
\lnot ¬
\flat ♭
\natural ♮
\sharp ♯
\clubsuit ♣ ♧
\diamondsuit ♢ ♦
\heartsuit ♡ ♥
\spadesuit ♠ ♤
\coprod ∐
\bigvee ⋁
\bigwedge ⋀
\biguplus ⨄
\bigcap ⋂
\bigcup ⋃
\int ∫
\prod ∏
\sum ∑
\bigotimes ⨂
\bigoplus ⨁
\bigodot ⨀
\oint ∮
\bigsqcup ⨆
\smallint ∫
\triangleleft ◃
\triangleright ▹
\bigtriangleup △
\bigtriangledown ▽
\wedge ∧
\land ∧
\vee ∨
\lor ∨
\cap ∩
\cup ∪
\ddagger ‡
\dagger †
\sqcap ⊓
\sqcup ⊔
\uplus ⊎
\amalg ⨿
\diamond ⋄
\bullet ∙
\wr ≀
\div ÷
\odot ⊙
\oslash ⊘
\otimes ⊗
\ominus ⊖
\oplus ⊕
\mp ∓
\pm ±
\circ ∘
\bigcirc ◯
\setminus ∖
\cdot ·
\ast *
\times ×
\star ⋆
\propto ∝
\sqsubseqeq ⊑
\sqsupseteq ⊒
\parallel ∥
\mid ∣
\dashv ⊣
\vdash ⊢
\nearrow ↗
\searrow ↘
\nwarrow ↖
\swarrow ↙
\Leftrightarrow ⇔
\Leftarrow ⇐
\Rightarrow ⇒
\neq ≠
\leq ≤
\geq ≥
\succ ≻
\prec ≺
\approx ≈
\succeq ⪰
\preceq ⪯
\supset ⊃
\subset ⊂
\supseteq ⊇
\subseteq ⊆
\in ∈
\ni ∋
\owns ∋
\gg ≫
\ll ≪
\not ̸
\leftrightarrow ↔
\leftarrow ←
\gets ←
\rightarrow →
\to →
\mapsto ↦
\sim ∼
\simeq ≃
\perp ⊥
\equiv ≡
\asymp ≍
\smile ⌣
\frown ⌢
\leftharpoonup ↼
\leftharpoondown ↽
\rightharpoonup ⇀
\rightharpoondown ⇁
\hookrightarrow ↪
\hookleftarrow ↩
\bowtie ⋈
\models ⊧
\Longrightarrow ⟹
\longrightarrow ⟶
\longleftarrow ⟵
\Longleftarrow ⟸
\longmapsto ⟼
\longleftrightarrow ⟷
\Longleftrightarrow ⟺
\iff ⇔
\cdot ·
\colon ∶
\ldots …
\cdots ⋯
\vdots ⋮
\acute ́
\' ́
\grave ̀
\` ̀
\ddot ̈
\" ̈
\tilde ̃
\~ ̃
\bar ̄
\= ̄
\breve ̆
\u ̆
\check ̌
\v ̌
\hat ̂
\^ ̂
\vec ⃗
\dot ̇
\. ̇
\widetilde ̃
\widehat ̂
\H ̋
\t ͡
\overbrace ⏞ ︷
\underbrace ⏟ ︸
\lmoustache ⎰
\rmoustache ⎱
\lgroup ⟮
\rgroup ⟯
\arrowvert ⏐
\Arrowvert ‖
\bracevert ⎪
\Vert ∥
\vert |
\uparrow ↑
\downarrow ↓
\updownarrow ↕
\Uparrow ⇑
\Downarrow ⇓
\Updownarrow ⇕
\backslash \ ∖
\rangle ⟩
\langle ⟨
\rbrace }
\lbrace {
\rceil ⌉
\lceil ⌈
\rfloor ⌋
\lfloor ⌊
\sqrt √
\cong ≅
\notin ∉
\rightleftharpoons ⇌
\doteq ≐
